High Resolution Rapid Refresh (HRRR)
CONUS 2-D Fields
GRIB2 Table Documentation
04 May 2020
Record,MasterTable,LocalTable,Discipline,Category,Parameter,WGrib2Name,                         NCLName,                                             FieldType,      VerticalLevels,          Units,
    23,          2,         1,         0,       0,         6,      DPT,                DPT_P0_L103_GLC0,                                 Dew Point Temperature,             2 m AGL,              K,
    24,          2,         1,         0,       2,         2,     UGRD,               UGRD_P0_L103_GLC0,                                   U-Component of Wind,            10 m AGL,            m/s,
    25,          2,         1,         0,       2,         3,     VGRD,               VGRD_P0_L103_GLC0,                                   V-Component of Wind,            10 m AGL,            m/s,
    26,          2,         1,         0,       2,         1,     WIND,       WIND_P8_L103_GLC0_avg5min,                              5-min average Wind Speed,            10 m AGL,            m/s,
    27,          2,         1,         0,       2,         2,     UGRD,       UGRD_P8_L103_GLC0_avg5min,                     5-min average U-Component of Wind,            10 m AGL,            m/s,
    28,          2,         1,         0,       2,         3,     VGRD,       VGRD_P8_L103_GLC0_avg5min,                     5-min average V-Component of Wind,            10 m AGL,            m/s,
    29,          2,         1,         0,       4,         7,    DSWRF,       DSWRF_P8_L1_GLC0_avg15min,     15-min average Downward Short-Wave Radiation Flux,             surface,          W/m^2,
    30,          2,         1,         0,       4,       200,    VBDSF,       VBDSF_P0_L1_GLC0_avg15min,       15-min average Visible Beam Downward Solar Flux,             surface,          W/m^2,
    31,          2,         1,         0,       1,        39,    CPOFP,                CPOFP_P0_L1_GLC0,                          Percent frozen precipitation,             surface,              %,
    32,          2,         1,         0,       1,         7,    PRATE,                PRATE_P0_L1_GLC0,                                    Precipitation Rate,             surface,       kg/m^2/s,
    33,          2,         1,         0,       1,         8,     APCP,        APCP_P8_L1_GLC0_acc15min,                                   Total Precipitation,             surface,         kg/m^2,
    34,          2,         1,         0,       1,        13,    WEASD,       WEASD_P8_L1_GLC0_acc15min,            Water Equivalent of Accumulated Snow Depth,             surface,         kg/m^2,
    35,          2,         1,         0,       1,       227,    FROZR,       FROZR_P8_L1_GLC0_acc15min,                                           Frozen Rain,             surface,         kg/m^2,
    36,          2,         1,         0,       1,        36,    CSNOW,                CSNOW_P0_L1_GLC0,                                      Categorical Snow,             surface,              -,
    37,          2,         1,         0,       1,       194,    CICEP,                CICEP_P0_L1_GLC0,                               Categorical ice pellets,             surface,              -,
    38,          2,         1,         0,       1,       193,    CFRZR,                CFRZR_P0_L1_GLC0,                             Categorical freezing rain,             surface,              -,
    39,          2,         1,         0        1,       192,    CRAIN,                CRAIN_P0_L1_GLC0,                                      Categorical rain,             surface,              -,
    40,          2,         1,         0,       6,        18,    TCOLW,               TCOLW_P0_L10_GLC0,                   Total column-integrated cloud water,   entire atmosphere,         kg/m^2,
    41,          2,         1,         0,       1,        70,    TCOLI,               TCOLI_P0_L10_GLC0,                     Total column-integrated cloud ice,   entire atmosphere,         kg/m^2,
    42,          2,         1,         0,       3,         5,      HGT,                  HGT_P0_L1_GLC0,                                   Geopotential Height,          cloud base,            gpm,
    43,          2,         1,         0,       3,         5,      HGT,                  HGT_P0_L1_GLC0,                                   Geopotential Height,       cloud ceiling,            gpm,
    44,          2,         1,         0,       3,         5,      HGT,                  HGT_P0_L1_GLC0,                                   Geopotential Height,           cloud top,            gpm,
    45,          2,         1,         0,       5,         4,    ULWRF,                ULWRF_P0_L1_GLC0,                            Upward Long-Wave Rad. Flux,   top of atmosphere,          W/m^2,
    46,          2,         1,         0,       4,         7,    DSWRF,                DSWRF_P0_L1_GLC0,                    Downward Short-Wave Radiation Flux,             surface,          W/m^2,
    47,          2,         1,         0,       5,         3,    DLWRF,                DLWRF_P0_L1_GLC0,                          Downward Long-Wave Rad. Flux,             surface,          W/m^2,
    48,          2,         1,         0,       4,         8,    USWRF,                USWRF_P0_L1_GLC0,                      Upward Short-Wave Radiation Flux,             surface,          W/m^2,
    49,          2,         1,         0,       5,         4,    ULWRF,                ULWRF_P0_L1_GLC0,                            Upward Long-Wave Rad. Flux,             surface,          W/m^2,
    50,          2,         1,         0,       4,       200,    VBDSF,                VBDSF_P0_L1_GLC0,                      Visible Beam Downward Solar Flux,             surface,          W/m^2,
    51,          2,         1,         0,       4,       201,    VDDSF,                VDDSF_P0_L1_GLC0,                   Visible Diffuse Downward Solar Flux,             surface,          W/m^2,
    52,          2,         1,         3,     192,         1,   SBT123,                SBT123_P0_L8_GLC0,Simulated Brightness Temperature for GOES 12 Channel 3,  top of atmosphere,              K,
    53,          2,         1,         3,     192,         2,   SBT124,                SBT124_P0_L8_GLC0,Simulated Brightness Temperature for GOES 12 Channel 4,  top of atmosphere,              K,
    54,          2,         1,         3,     192,         7,   SBT113,                SBT113_P0_L8_GLC0,Simulated Brightness Temperature for GOES 11 Channel 3,  top of atmosphere,              K,
    55,          2,         1,         3,     192,         8,   SBT114,                SBT114_P0_L8_GLC0,Simulated Brightness Temperature for GOES 11 Channel 4,  top of atmosphere,              K,
High Resolution Rapid Refresh (HRRR)
CONUS Hybrid Level Fields
GRIB2 Table Documentation
04 May 2020
Record,MasterTable,LocalTable,Discipline,Category,Parameter,WGrib2Name,                         NCLName,                                             FieldType,      VerticalLevels,          Units,
     1,          2,         1,         0,       3,         0,     PRES,               PRES_P0_L105_GLC0,                                              Pressure,        Hybrid level,             Pa,
     2,          2,         1,         0,       1,        22,    CLWMR,              CLWMR_P0_L105_GLC0,                                    Cloud mixing ratio,        Hybrid level,          kg/kg,
     3,          2,         1,         0,       1,        23,     ICMR,               ICMR_P0_L105_GLC0,                                Ice water mixing ratio,        Hybrid level,          kg/kg,
     4,          2,         1,         0,       1,        24,     RWMR,               RWMR_P0_L105_GLC0,                                     Rain mixing ratio,        Hybrid level,          kg/kg,
     5,          2,         1,         0,       1,        25,     SNMR,               SNMR_P0_L105_GLC0,                                     Snow mixing ratio,        Hybrid level,          kg/kg,
     6,          2,         1,         0,       1,        32,     GRLE,               GRLE_P0_L105_GLC0,                                               Graupel,        Hybrid level,          kg/kg,
     7,          2,         1,         0,       6,        28,   NCONCD,             NCONCD_P0_L105_GLC0,                Number concentration of cloud droplets,        Hybrid level,            /kg,
     8,          2,         1,         0,       6,        29,   NCCICE,             NCCICE_P0_L105_GLC0,                     Number concentration of cloud ice,        Hybrid level,            /kg,
     9,          2,         1,         0,       1,       100,    SPNCR,              SPNCR_P0_L105_GLC0,                 Specific number concentration of rain,        Hybrid level,            /kg,
    10,          2,         1,         0,      13,       193,     PMTC,               PMTC_P0_L105_GLC0,     Particulate matter (coarse; Thompson MP aerosols),        Hybrid level,          ug/m3,
    11,          2,         1,         0,      13,       192,     PMTF,               PMTF_P0_L105_GLC0,       Particulate matter (fine; Thompson MP aerosols),        Hybrid level,          ug/m3,
    12,          2,         1,         0,       6,        32,   FRACCC,             FRACCC_P0_L105_GLC0,                               Fraction of cloud cover,        Hybrid level,              -,
    13,          2,         1,         0,       3,         5,      HGT,                HGT_P0_L105_GLC0,                                   Geopotential height,        Hybrid level,            gpm,
    14,          2,         1,         0,       0,         0,      TMP,                TMP_P0_L105_GLC0,                                           Temperature,        Hybrid level,              K,
    15,          2,         1,         0,       1,         0,     SPFH,               SPFH_P0_L105_GLC0,                                     Specific humidity,        Hybrid level,          kg/kg,
    16,          2,         1,         0,       2,         2,     UGRD,               UGRD_P0_L105_GLC0,                                   U-component of wind,        Hybrid level,            m/s,
    17,          2,         1,         0,       2,         3,     VGRD,               VGRD_P0_L105_GLC0,                                   V-component of wind,        Hybrid level,            m/s,
    18,          2,         1,         0,       2,         8,     VVEL,               VVEL_P0_L105_GLC0,                          Vertical velocity (pressure),        Hybrid level,           Pa/s,
    19,          2,         1,         0,      19,        11,      TKE,                TKE_P0_L105_GLC0,                              Turbulent kinetic energy,        Hybrid level,           J/kg,
    20,          2,         1,         0,      20,         0,  MASSDEN,            MASSDEN_P0_L105_GLC0,                                   Smoke concentration,        Hybrid level,          ug/m3,
High Resolution Rapid Refresh (HRRR)
CONUS Isobaric Fields
GRIB2 Table Documentation
04 May 2020
Record,MasterTable,LocalTable,Discipline,Category,Parameter,WGrib2Name,                         NCLName,                                             FieldType,       VerticalLevels,          Units,
     1,          2,         1,         0,       3,         5,      HGT,                HGT_P0_L100_GLC0,                                   Geopotential height,Isobaric surface (Pa),            gpm,
     2,          2,         1,         0,       0,         0,      TMP,                TMP_P0_L100_GLC0,                                           Temperature,Isobaric surface (Pa),              K,
     3,          2,         1,         0,       1,         1,       RH,                 RH_P0_L100_GLC0,                                     Relative humidity,Isobaric surface (Pa),              %,
     4,          2,         1,         0,       0,         6,      DPT,                DPT_P0_L100_GLC0                                  Dew point temperature,Isobaric surface (Pa),              K,
     5,          2,         1,         0,       1,         0,     SPFH,               SPFH_P0_L100_GLC0,                                     Specific humidity,Isobaric surface (Pa),          kg/kg,
     6,          2,         1,         0,       2,         8,     VVEL,               VVEL_P0_L100_GLC0,                          Vertical velocity (pressure),Isobaric surface (Pa),           Pa/s,
     7,          2,         1,         0,       2,         2,     UGRD,               UGRD_P0_L100_GLC0,                                   U-component of wind,Isobaric surface (Pa),            m/s,
     8,          2,         1,         0,       2,         3,     VGRD,               VGRD_P0_L100_GLC0,                                   V-component of wind,Isobaric surface (Pa),            m/s,
     9,          2,         1,         0,       2,        10,     ABSV,               ABSV_P0_L100_GLC0,                                    Absolute vorticity,Isobaric surface (Pa),             /s,
    10,          2,         1,         0,       1,        22,    CLWMR,              CLWMR_P0_L100_GLC0,                                    Cloud mixing ratio,Isobaric surface (Pa),          kg/kg,
    11,          2,         1,         0,       1,        23,     ICMR,               ICMR_P0_L100_GLC0,                                Ice water mixing ratio,Isobaric surface (Pa),          kg/kg,
    12,          2,         1,         0,       1,        24,     RWMR,               RWMR_P0_L100_GLC0,                                     Rain mixing ratio,Isobaric surface (Pa),          kg/kg,
    13,          2,         1,         0,       1,        25,     SNMR,               SNMR_P0_L100_GLC0,                                     Snow mixing ratio,Isobaric surface (Pa),          kg/kg,
    14,          2,         1,         0,       1,        32,     GRLE,               GRLE_P0_L100_GLC0,                                               Graupel,Isobaric surface (Pa),          kg/kg,
    15,          2,         1,         0,      20,         0,  MASSDEN,            MASSDEN_P0_L100_GLC0,                          Mass density (concentration),Isobaric surface (Pa),          ug/m3,
