"No","Categry","CategoryOfSequences_E","FXY1","Title_E","SubTitle_E","FXY2","ElementName_E","ExistingElementName_E","Note_E","Status"
521.00,"16","Synoptic feature sequences","D16003","(Jet stream)",,"B08011","Meteorological feature","Meteorological feature (jet stream value)",,"Operational"
522.00,"16","Synoptic feature sequences","D16003","(Jet stream)",,"B08007","Dimensional significance","Dimensional significance (value for line)",,"Operational"
523.00,"16","Synoptic feature sequences","D16003","(Jet stream)",,"R04000","Delayed replication descriptor","Delayed replication of 4 descriptors",,"Operational"
524.00,"16","Synoptic feature sequences","D16003","(Jet stream)",,"B05002","Latitude (coarse accuracy)","Latitude (coarse)",,"Operational"
525.00,"16","Synoptic feature sequences","D16003","(Jet stream)",,"B06002","Longitude (coarse accuracy)","Longitude (coarse)",,"Operational"
526.00,"16","Synoptic feature sequences","D16003","(Jet stream)",,"B10002","Height","Flight level (altitude)",,"Operational"
527.00,"16","Synoptic feature sequences","D16003","(Jet stream)",,"B11002","Wind speed","Wind speed",,"Operational"
528.00,"16","Synoptic feature sequences","D16003","(Jet stream)",,"B08007","Dimensional significance","Dimensional significance (cancel)",,"Operational"
529.00,"16","Synoptic feature sequences","D16003","(Jet stream)",,"B08011","Meteorological feature","Meteorological feature (cancel/end of object)",,"Operational"
530.00,"16","Synoptic feature sequences","D16004","(Turbulence)",,"R10000","Delayed replication descriptor","Delayed replication of 10 descriptors",,"Operational"
531.00,"16","Synoptic feature sequences","D16004","(Turbulence)",,"B08011","Meteorological feature","Meteorological feature (value for turbulence)",,"Operational"
532.00,"16","Synoptic feature sequences","D16004","(Turbulence)",,"B08007","Dimensional significance","Dimensional significance (value for area)",,"Operational"
533.00,"16","Synoptic feature sequences","D16004","(Turbulence)",,"B07002","Height or altitude","Flight level (altitude) (base of layer)",,"Operational"
534.00,"16","Synoptic feature sequences","D16004","(Turbulence)",,"B07002","Height or altitude","Flight level (altitude) (top of layer)",,"Operational"
535.00,"16","Synoptic feature sequences","D16004","(Turbulence)",,"R02000","Delayed replication descriptor","Delayed replication of 2 descriptors",,"Operational"
536.00,"16","Synoptic feature sequences","D16004","(Turbulence)",,"B05002","Latitude (coarse accuracy)","Latitude (coarse)",,"Operational"
537.00,"16","Synoptic feature sequences","D16004","(Turbulence)",,"B06002","Longitude (coarse accuracy)","Longitude (coarse)",,"Operational"
538.00,"16","Synoptic feature sequences","D16004","(Turbulence)",,"B11031","Degree of turbulence","Degree of turbulence",,"Operational"
539.00,"16","Synoptic feature sequences","D16004","(Turbulence)",,"B08007","Dimensional significance","Dimensional significance (cancel)",,"Operational"
540.00,"16","Synoptic feature sequences","D16004","(Turbulence)",,"B08011","Meteorological feature","Meteorological feature (cancel/end of object)",,"Operational"
541.00,"16","Synoptic feature sequences","D16005","(Storm)",,"R08000","Delayed replication descriptor","Delayed replication of 8 descriptors",,"Operational"
542.00,"16","Synoptic feature sequences","D16005","(Storm)",,"B08005","Meteorological attribute significance","Meteorological attribute significance (storm centre)",,"Operational"
543.00,"16","Synoptic feature sequences","D16005","(Storm)",,"B08007","Dimensional significance","Dimensional significance (value for point)",,"Operational"
544.00,"16","Synoptic feature sequences","D16005","(Storm)",,"B05002","Latitude (coarse accuracy)","Latitude (coarse)",,"Operational"
545.00,"16","Synoptic feature sequences","D16005","(Storm)",,"B06002","Longitude (coarse accuracy)","Longitude (coarse)",,"Operational"
546.00,"16","Synoptic feature sequences","D16005","(Storm)",,"B01026","WMO storm name","WMO storm name (use ""UNKNOWN"" for a sandstorm)",,"Operational"
547.00,"16","Synoptic feature sequences","D16005","(Storm)",,"B19001","Type of synoptic feature","Synoptic features (value for type of storm)",,"Operational"
548.00,"16","Synoptic feature sequences","D16005","(Storm)",,"B08007","Dimensional significance","Dimensional significance (cancel)",,"Operational"
549.00,"16","Synoptic feature sequences","D16005","(Storm)",,"B08005","Meteorological attribute significance","Meteorological attribute significance (cancel/end of object)",,"Operational"
550.00,"16","Synoptic feature sequences","D16006","(Cloud)",,"R11000","Delayed replication descriptor","Delayed replication of 11 descriptors",,"Operational"
551.00,"16","Synoptic feature sequences","D16006","(Cloud)",,"B08011","Meteorological feature","Meteorological feature (value for cloud)",,"Operational"
552.00,"16","Synoptic feature sequences","D16006","(Cloud)",,"B08007","Dimensional significance","Dimensional significance (value for area)",,"Operational"
553.00,"16","Synoptic feature sequences","D16006","(Cloud)",,"B07002","Height or altitude","Flight level (altitude) (base of layer)",,"Operational"
554.00,"16","Synoptic feature sequences","D16006","(Cloud)",,"B07002","Height or altitude","Flight level (altitude) (top of layer)",,"Operational"
555.00,"16","Synoptic feature sequences","D16006","(Cloud)",,"R02000","Delayed replication descriptor","Delayed replication of 2 descriptors",,"Operational"
556.00,"16","Synoptic feature sequences","D16006","(Cloud)",,"B05002","Latitude (coarse accuracy)","Latitude (coarse)",,"Operational"
557.00,"16","Synoptic feature sequences","D16006","(Cloud)",,"B06002","Longitude (coarse accuracy)","Longitude (coarse)",,"Operational"
558.00,"16","Synoptic feature sequences","D16006","(Cloud)",,"B20011","Cloud amount","Cloud amount",,"Operational"
559.00,"16","Synoptic feature sequences","D16006","(Cloud)",,"B20012","Cloud type","Cloud type",,"Operational"
560.00,"16","Synoptic feature sequences","D16006","(Cloud)",,"B08007","Dimensional significance","Dimensional significance (cancel)",,"Operational"
561.00,"16","Synoptic feature sequences","D16006","(Cloud)",,"B08011","Meteorological feature","Meteorological feature (cancel/end of object)",,"Operational"
562.00,"16","Synoptic feature sequences","D16007","(Front)",,"R09000","Delayed replication descriptor","Delayed replication of 9 descriptors",,"Operational"
563.00,"16","Synoptic feature sequences","D16007","(Front)",,"B08011","Meteorological feature","Meteorological feature (value for type of front)",,"Operational"
564.00,"16","Synoptic feature sequences","D16007","(Front)",,"B08007","Dimensional significance","Dimensional significance (value for line)",,"Operational"
565.00,"16","Synoptic feature sequences","D16007","(Front)",,"R04000","Delayed replication descriptor","Delayed replication of 4 descriptors",,"Operational"
566.00,"16","Synoptic feature sequences","D16007","(Front)",,"B05002","Latitude (coarse accuracy)","Latitude (coarse)",,"Operational"
567.00,"16","Synoptic feature sequences","D16007","(Front)",,"B06002","Longitude (coarse accuracy)","Longitude (coarse)",,"Operational"
568.00,"16","Synoptic feature sequences","D16007","(Front)",,"B19005","Direction of motion of feature","Direction of feature",,"Operational"
569.00,"16","Synoptic feature sequences","D16007","(Front)",,"B19006","Speed of motion of feature","Speed of feature",,"Operational"
570.00,"16","Synoptic feature sequences","D16007","(Front)",,"B08007","Dimensional significance","Dimensional significance (cancel)",,"Operational"
571.00,"16","Synoptic feature sequences","D16007","(Front)",,"B08011","Meteorological feature","Meteorological feature (cancel/end of object)",,"Operational"
572.00,"16","Synoptic feature sequences","D16008","(Tropopause)",,"R10000","Delayed replication descriptor","Delayed replication of 10 descriptors",,"Operational"
573.00,"16","Synoptic feature sequences","D16008","(Tropopause)",,"B08001","Vertical sounding significance","Vertical significance (bit 3 set for tropopause)",,"Operational"
574.00,"16","Synoptic feature sequences","D16008","(Tropopause)",,"B08007","Dimensional significance","Dimensional significance (value for point)",,"Operational"
575.00,"16","Synoptic feature sequences","D16008","(Tropopause)",,"B08023","First-order statistics","Statistic (type of tropopause value)",,"Operational"
576.00,"16","Synoptic feature sequences","D16008","(Tropopause)",,"R03000","Delayed replication descriptor","Delayed replication of 3 descriptors",,"Operational"
577.00,"16","Synoptic feature sequences","D16008","(Tropopause)",,"B05002","Latitude (coarse accuracy)","Latitude (coarse)",,"Operational"
578.00,"16","Synoptic feature sequences","D16008","(Tropopause)",,"B06002","Longitude (coarse accuracy)","Longitude (coarse)",,"Operational"
579.00,"16","Synoptic feature sequences","D16008","(Tropopause)",,"B10002","Height","Height/altitude",,"Operational"
580.00,"16","Synoptic feature sequences","D16008","(Tropopause)",,"B08023","First-order statistics","Statistic (cancel)",,"Operational"
581.00,"16","Synoptic feature sequences","D16008","(Tropopause)",,"B08007","Dimensional significance","Dimensional significance (cancel)",,"Operational"
582.00,"16","Synoptic feature sequences","D16008","(Tropopause)",,"B08001","Vertical sounding significance","Vertical significance (cancel/end of object)",,"Operational"
583.00,"16","Synoptic feature sequences","D16009","(Airframe icing area)",,"R10000","Delayed replication descriptor","Delayed replication of 10 descriptors",,"Operational"
584.00,"16","Synoptic feature sequences","D16009","(Airframe icing area)",,"B08011","Meteorological feature","Meteorological feature (value for airframe icing)",,"Operational"
585.00,"16","Synoptic feature sequences","D16009","(Airframe icing area)",,"B08007","Dimensional significance","Dimensional significance (value for area)",,"Operational"
586.00,"16","Synoptic feature sequences","D16009","(Airframe icing area)",,"B07002","Height or altitude","Flight level (altitude) (base of layer)",,"Operational"
587.00,"16","Synoptic feature sequences","D16009","(Airframe icing area)",,"B07002","Height or altitude","Flight level (altitude) (top of layer)",,"Operational"
588.00,"16","Synoptic feature sequences","D16009","(Airframe icing area)",,"R02000","Delayed replication descriptor","Delayed replication of 2 descriptors",,"Operational"
589.00,"16","Synoptic feature sequences","D16009","(Airframe icing area)",,"B05002","Latitude (coarse accuracy)","Latitude (coarse)",,"Operational"
590.00,"16","Synoptic feature sequences","D16009","(Airframe icing area)",,"B06002","Longitude (coarse accuracy)","Longitude (coarse)",,"Operational"
591.00,"16","Synoptic feature sequences","D16009","(Airframe icing area)",,"B20041","Airframe icing","Airframe icing (type of airframe icing)",,"Operational"
592.00,"16","Synoptic feature sequences","D16009","(Airframe icing area)",,"B08007","Dimensional significance","Dimensional significance (cancel)",,"Operational"
593.00,"16","Synoptic feature sequences","D16009","(Airframe icing area)",,"B08011","Meteorological feature","Meteorological feature (cancel/end of object)",,"Operational"
594.00,"16","Synoptic feature sequences","D16010","(Name of feature)",,"R07000","Delayed replication descriptor","Delayed replication of 7 descriptors",,"Operational"
595.00,"16","Synoptic feature sequences","D16010","(Name of feature)",,"B08011","Meteorological feature","Meteorological feature",,"Operational"
596.00,"16","Synoptic feature sequences","D16010","(Name of feature)",,"B08007","Dimensional significance","Dimensional significance (value for point)",,"Operational"
597.00,"16","Synoptic feature sequences","D16010","(Name of feature)",,"B01022","Name of feature","Name of feature",,"Operational"
598.00,"16","Synoptic feature sequences","D16010","(Name of feature)",,"B05002","Latitude (coarse accuracy)","Latitude (coarse)",,"Operational"
599.00,"16","Synoptic feature sequences","D16010","(Name of feature)",,"B06002","Longitude (coarse accuracy)","Longitude (coarse)",,"Operational"
600.00,"16","Synoptic feature sequences","D16010","(Name of feature)",,"B08007","Dimensional significance","Dimensional significance (cancel)",,"Operational"
601.00,"16","Synoptic feature sequences","D16010","(Name of feature)",,"B08011","Meteorological feature","Meteorological feature (cancel/end of object)",,"Operational"
602.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"R16000","Delayed replication descriptor","Delayed replication of 16 descriptors",,"Operational"
603.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"B08011","Meteorological feature","Meteorological feature (value for special clouds)",,"Operational"
604.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"B01022","Name of feature","Name of feature (volcano name)",,"Operational"
605.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"B08007","Dimensional significance","Dimensional significance (value for point)",,"Operational"
606.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"R02000","Delayed replication descriptor","Delayed replication of 2 descriptors",,"Operational"
607.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"B05002","Latitude (coarse accuracy)","Latitude (coarse)",,"Operational"
608.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"B06002","Longitude (coarse accuracy)","Longitude (coarse)",,"Operational"
609.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"B08021","Time significance","Time significance (eruption starting time)",,"Operational"
610.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"B04001","Year","Year",,"Operational"
611.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"B04002","Month","Month",,"Operational"
612.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"B04003","Day","Day",,"Operational"
613.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"B04004","Hour","Hour",,"Operational"
614.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"B04005","Minute","Minute",,"Operational"
615.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"B20090","Special clouds","Special clouds (clouds from volcanic eruptions)",,"Operational"
616.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"B08021","Time significance","Time significance (cancel)",,"Operational"
617.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"B08007","Dimensional significance","Dimensional significance (cancel)",,"Operational"
618.00,"16","Synoptic feature sequences","D16011","(Volcano erupting)",,"B08011","Meteorological feature","Meteorological feature (cancel/end of object)",,"Operational"
619.00,"16","Synoptic feature sequences","D16020","(Tropical storm identification)",,"B01033","Identification of originating/generating centre","Identification of originating/generating Centre",,"Operational"
620.00,"16","Synoptic feature sequences","D16020","(Tropical storm identification)",,"B01025","Storm identifier","Storm identifier",,"Operational"
621.00,"16","Synoptic feature sequences","D16020","(Tropical storm identification)",,"B01027","WMO long storm name","WMO storm name",,"Operational"
622.00,"16","Synoptic feature sequences","D16020","(Tropical storm identification)",,"D01011",,"Year, month, day",,"Operational"
623.00,"16","Synoptic feature sequences","D16020","(Tropical storm identification)",,"D01012",,"Hour, minute",,"Operational"
624.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"D01023",,"Latitude (coarse accuracy), longitude (coarse accuracy)",,"Operational"
625.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B02041","Method for estimating reports related to synoptic features","Method for estimating reports related to synoptic features",,"Operational"
626.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B19001","Type of synoptic feature","Type of synoptic feature",,"Operational"
627.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B19007","Effective radius of feature","Effective radius of feature",,"Operational"
628.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B19005","Direction of motion of feature","Direction of motion of feature",,"Operational"
629.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B19006","Speed of motion of feature","Speed of motion of feature",,"Operational"
630.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B19008","Vertical extent of circulation","Vertical extent of feature",,"Operational"
631.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B08005","Meteorological attribute significance","Surface synoptic feature significance (value=1 for storm centre)",,"Operational"
632.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B10004","Pressure","Pressure (of storm centre by virtue of preceding significance qualifier)",,"Operational"
633.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B08005","Meteorological attribute significance","Value=2 for outer limit or edge of feature",,"Operational"
634.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B10004","Pressure","Pressure (at outer limit)",,"Operational"
635.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B19007","Effective radius of feature","Radius (of outer limit)",,"Operational"
636.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B08005","Meteorological attribute significance","Value=3 for location of maximum wind",,"Operational"
637.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B08021","Time significance","Time significance (time averaged)",,"Operational"
638.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B04075","Short time period or displacement","Time period (minutes)",,"Operational"
639.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B11040","Maximum wind speed (mean wind)","Maximum wind speed (mean wind)",,"Operational"
640.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B19007","Effective radius of feature","Radius of feature (maximum wind)",,"Operational"
641.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"R05004","Replication descriptor","(Four times replication of following five descriptors)",,"Operational"
642.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B05021","Bearing or azimuth","Starting bearing or azimuth",,"Operational"
643.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B05021","Bearing or azimuth","Ending bearing or azimuth",,"Operational"
644.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"R02002","Replication descriptor","(Two times replication of following two descriptors)",,"Operational"
645.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B19003","Wind speed threshold","Wind speed threshold",,"Operational"
646.00,"16","Synoptic feature sequences","D16021","(Analysis data)",,"B19004","Effective radius with respect to wind speeds above threshold","Effective radius with respect to wind speed above threshold",,"Operational"
647.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B01032","Generating application","Generating application (NWP model name, etc. code table defined by originating/generating Centre)",,"Operational"
648.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B02041","Method for estimating reports related to synoptic features","Method for estimating reports related to synoptic features",,"Operational"
649.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B19001","Type of synoptic feature","Type of synoptic feature",,"Operational"
650.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B19010","Method for tracking the centre of synoptic feature","Method for tracing of the centre of synoptic feature",,"Operational"
651.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"R18000","Delayed replication descriptor","(NN times replication of following 18 descriptors - delayed replication)",,"Operational"
652.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B08021","Time significance","Time significance (forecast)",,"Operational"
653.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B04014","Time increment","Time increment (hour)",,"Operational"
654.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B08005","Meteorological attribute significance","Surface synoptic feature significance",,"Operational"
655.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"D01023",,"Latitude (coarse accuracy), longitude (coarse accuracy)",,"Operational"
656.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B19005","Direction of motion of feature","Direction of motion of feature",,"Operational"
657.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B19006","Speed of motion of feature","Speed of motion of feature",,"Operational"
658.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B10004","Pressure","Pressure",,"Operational"
659.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B11041","Maximum wind gust speed","Maximum wind speed (gusts: e.g. used in US)",,"Operational"
660.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B08021","Time significance","Time significance (forecast time averaged)",,"Operational"
661.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B04075","Short time period or displacement","Time period (minutes)",,"Operational"
662.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B11040","Maximum wind speed (mean wind)","Maximum wind speed (mean wind)",,"Operational"
663.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B19008","Vertical extent of circulation","Vertical extent of feature",,"Operational"
664.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"R05004","Replication descriptor","(Four times replication of following five descriptors)",,"Operational"
665.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B05021","Bearing or azimuth","Starting bearing or azimuth",,"Operational"
666.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B05021","Bearing or azimuth","Ending bearing or azimuth",,"Operational"
667.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"R02002","Replication descriptor","(Two times replication of following two descriptors)",,"Operational"
668.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B19003","Wind speed threshold","Wind speed threshold",,"Operational"
669.00,"16","Synoptic feature sequences","D16022","(Forecast data)",,"B19004","Effective radius with respect to wind speeds above threshold","Effective radius with respect to wind speed above threshold",,"Operational"
670.00,"16","Synoptic feature sequences","D16026","(Tropical storm analysis information)",,"D16020","(Tropical storm identification)","Tropical storm identification",,"Operational"
671.00,"16","Synoptic feature sequences","D16026","(Tropical storm analysis information)",,"D16021","(Analysis data)","Analysis data",,"Operational"
672.00,"16","Synoptic feature sequences","D16027","(Tropical storm forecast information)",,"D16020","(Tropical storm identification)","Tropical storm identification",,"Operational"
673.00,"16","Synoptic feature sequences","D16027","(Tropical storm forecast information)",,"D16022","(Forecast data)","Forecast data",,"Operational"
674.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"D01005",,"Originating centre/sub-centre",,"Operational"
675.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"D01011",,"Date",,"Operational"
676.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"D01012",,"Time",,"Operational"
677.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B01007","Satellite identifier","Satellite identifier",,"Operational"
678.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B25150","Method of tropical cyclone intensity analysis using satellite data","Method of tropical cyclone intensity analysis using satellite data",,"Operational"
679.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"R22000","Delayed replication descriptor","Delayed replication of 22 descriptors",,"Operational"
680.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B01027","WMO long storm name","WMO long storm name",,"Operational"
681.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19150","Typhoon International Common Number (Typhoon Committee)","Typhoon International Common Number (Typhoon Committee)",,"Operational"
682.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19106","Identification number of tropical cyclone","Identification number of tropical cyclone",,"Operational"
683.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B08005","Meteorological attribute significance","Meteorological attribute significance (=1)",,"Operational"
684.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B05002","Latitude (coarse accuracy)","Latitude (coarse accuracy)",,"Operational"
685.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B06002","Longitude (coarse accuracy)","Longitude (coarse accuracy)",,"Operational"
686.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B08005","Meteorological attribute significance","Cancel Meteorological attribute significance",,"Operational"
687.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19107","Time interval over which the movement of the tropical cyclone has been calculated","Time interval of the tropical cyclone analysis",,"Operational"
688.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19005","Direction of motion of feature","Direction of motion of feature",,"Operational"
689.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19006","Speed of motion of feature","Speed of motion of feature",,"Operational"
690.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19108","Accuracy of geographical position of the tropical cyclone","Accuracy of geographical position of the tropical cyclone",,"Operational"
691.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19109","Mean diameter of the overcast cloud of the tropical cyclone","Mean diameter of the overcast cloud of the tropical cyclone",,"Operational"
692.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19110","Apparent 24-hour change in intensity of the tropical cyclone","Apparent 24-hour change in intensity of the tropical cyclone",,"Operational"
693.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19111","Current Intensity (CI) number of the tropical cyclone","Current Intensity (CI) number of the tropical cyclone",,"Operational"
694.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19112","Data Tropical (DT) number of the tropical cyclone","Data tropical (DT) number of the tropical cyclone",,"Operational"
695.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19113","Cloud pattern type of the DT-number","Cloud pattern type of the DT-number",,"Operational"
696.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19114","Model Expected Tropical (MET) number of the tropical cyclone","Model Expected tropical (MET) number of the tropical cyclone",,"Operational"
697.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19115","Trend of the past 24-hour change (+: Developed, -: Weakened)","Trend of the past 24-hour change (+: Developed, -: Weakened)",,"Operational"
698.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19116","Pattern Tropical (PT) number of the tropical cyclone","Pattern tropical (PT) number of the tropical cyclone",,"Operational"
699.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19117","Cloud picture type of the PT-number","Cloud picture type of the PT-number",,"Operational"
700.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19118","Final Tropical (T) number of the tropical cyclone","Final tropical (T) number of the tropical cyclone",,"Operational"
701.00,"16","Synoptic feature sequences","D16052","(SAREP Template - Part A: Information on tropical cyclone)",,"B19119","Type of the final T-number","Type of the final T-number",,"Operational"
702.00,"16","Synoptic feature sequences","D16060","Definition of squall line (by 3 points: Centre, North, South) and forecasted trajectory and evolution",,"D01011",,"Date",,"Operational"
703.00,"16","Synoptic feature sequences","D16060","Definition of squall line (by 3 points: Centre, North, South) and forecasted trajectory and evolution",,"D01012",,"Time",,"Operational"
704.00,"16","Synoptic feature sequences","D16060","Definition of squall line (by 3 points: Centre, North, South) and forecasted trajectory and evolution","Position of Squall Line Centre","B05002","Latitude (coarse accuracy)","Latitude",,"Operational"
705.00,"16","Synoptic feature sequences","D16060","Definition of squall line (by 3 points: Centre, North, South) and forecasted trajectory and evolution","Position of Squall Line Centre","B06002","Longitude (coarse accuracy)","Longitude",,"Operational"
706.00,"16","Synoptic feature sequences","D16060","Definition of squall line (by 3 points: Centre, North, South) and forecasted trajectory and evolution","Position of Squall Line Centre","B19005","Direction of motion of feature","Direction of moving feature",,"Operational"
707.00,"16","Synoptic feature sequences","D16060","Definition of squall line (by 3 points: Centre, North, South) and forecasted trajectory and evolution","Position of Squall Line Centre","B19006","Speed of motion of feature","Speed of moving feature",,"Operational"
708.00,"16","Synoptic feature sequences","D16060","Definition of squall line (by 3 points: Centre, North, South) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - North point","B05002","Latitude (coarse accuracy)","Latitude",,"Operational"
709.00,"16","Synoptic feature sequences","D16060","Definition of squall line (by 3 points: Centre, North, South) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - North point","B06002","Longitude (coarse accuracy)","Longitude",,"Operational"
710.00,"16","Synoptic feature sequences","D16060","Definition of squall line (by 3 points: Centre, North, South) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - South point","B05002","Latitude (coarse accuracy)","Latitude",,"Operational"
711.00,"16","Synoptic feature sequences","D16060","Definition of squall line (by 3 points: Centre, North, South) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - South point","B06002","Longitude (coarse accuracy)","Longitude",,"Operational"
712.00,"16","Synoptic feature sequences","D16060","Definition of squall line (by 3 points: Centre, North, South) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - Evolution","B04074","Short time period or displacement","Period of validity",,"Operational"
713.00,"16","Synoptic feature sequences","D16060","Definition of squall line (by 3 points: Centre, North, South) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - Evolution","B20048","Evolution of feature","Evolution of feature",,"Operational"
714.00,"16","Synoptic feature sequences","D16060","Definition of squall line (by 3 points: Centre, North, South) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - Evolution","B11041","Maximum wind gust speed","Maximum burst expected",,"Operational"
715.00,"16","Synoptic feature sequences","D16060","Definition of squall line (by 3 points: Centre, North, South) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - Evolution","B13055","Intensity of precipitation","Intensity of rain expected",,"Operational"
