"No","Title_E","OctetNo","Contents_E","Note_E","Status"
431,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","24","Scale factor of first fixed surface",,"Operational"
432,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","25-28","Scaled value of first fixed surface",,"Operational"
433,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","29","Type of second fixed surface","(see Code table 4.5)#GRIB2_7_0_0_CodeFlag.doc#G2_CF45","Operational"
434,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","30","Scale factor of second fixed surface",,"Operational"
435,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","31-34","Scaled value of second fixed surface",,"Operational"
436,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","35","Forecast probability number",,"Operational"
437,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","36","Total number of forecast probabilities",,"Operational"
438,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","37","Probability type","(see Code table 4.9)#GRIB2_7_0_0_CodeFlag.doc#G2_CF49","Operational"
439,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","38","Scale factor of lower limit",,"Operational"
440,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","39-42","Scaled value of lower limit",,"Operational"
441,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","43","Scale factor of upper limit",,"Operational"
442,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","44-47","Scaled value of upper limit",,"Operational"
443,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","10","Parameter category","(see Code table 4.1)#GRIB2_7_0_0_CodeFlag.doc#G2_CF41","Operational"
444,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","11","Parameter number","(see Code table 4.2)#GRIB2_7_0_0_CodeFlag.doc#G2_CF42","Operational"
445,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","12","Type of generating process","(see Code table 4.3)#GRIB2_7_0_0_CodeFlag.doc#G2_CF43","Operational"
446,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","13","Background generating process identifier (defined by originating centre)",,"Operational"
447,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","14","Forecast generating process identifier (defined by originating centre)",,"Operational"
448,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","15-16","Hours after reference time of data cutoff","(see Note)#GRIB2_7_0_0_Temp.doc#G2_Pdt46n","Operational"
449,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","17","Minutes after reference time of data cutoff",,"Operational"
450,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","18","Indicator of unit of time range","(see Code table 4.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF44","Operational"
451,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","19-22","Forecast time in units defined by octet 18",,"Operational"
452,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","23","Type of first fixed surface","(see Code table 4.5)#GRIB2_7_0_0_CodeFlag.doc#G2_CF45","Operational"
453,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","24","Scale factor of first fixed surface",,"Operational"
454,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","25-28","Scaled value of first fixed surface",,"Operational"
455,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","29","Type of second fixed surface","(see Code table 4.5)#GRIB2_7_0_0_CodeFlag.doc#G2_CF45","Operational"
456,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","30","Scale factor of second fixed surface",,"Operational"
457,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","31-34","Scaled value of second fixed surface",,"Operational"
458,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","35","Percentile value (from 100% to 0%)",,"Operational"
459,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","10","Parameter category","(see Code table 4.1)#GRIB2_7_0_0_CodeFlag.doc#G2_CF41","Operational"
460,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","11","Parameter number","(see Code table 4.2)#GRIB2_7_0_0_CodeFlag.doc#G2_CF42","Operational"
461,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","12","Type of generating process","(see Code table 4.3)#GRIB2_7_0_0_CodeFlag.doc#G2_CF43","Operational"
462,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","13","Background generating process identifier (defined by originating centre)",,"Operational"
463,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","14","Analysis or forecast generating process identifier (defined by originating centre)",,"Operational"
464,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","15-16","Hours after reference time of data cutoff","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Pdt47n","Operational"
465,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","17","Minutes after reference time of data cutoff",,"Operational"
466,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","18","Indicator of unit of time range","(see Code table 4.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF44","Operational"
467,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","19-22","Forecast time in units defined by octet 18",,"Operational"
468,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","23","Type of first fixed surface","(see Code table 4.5)#GRIB2_7_0_0_CodeFlag.doc#G2_CF45","Operational"
469,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","24","Scale factor of first fixed surface",,"Operational"
470,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","25-28","Scaled value of first fixed surface",,"Operational"
471,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","29","Type of second fixed surface","(see Code table 4.5)#GRIB2_7_0_0_CodeFlag.doc#G2_CF45","Operational"
472,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","30","Scale factor of second fixed surface",,"Operational"
473,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","31-34","Scaled value of second fixed surface",,"Operational"
474,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","10","Parameter category","(see Code table 4.1)#GRIB2_7_0_0_CodeFlag.doc#G2_CF41","Operational"
475,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","11","Parameter number","(see Code table 4.2)#GRIB2_7_0_0_CodeFlag.doc#G2_CF42","Operational"
476,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","12","Type of generating process","(see Code table 4.3)#GRIB2_7_0_0_CodeFlag.doc#G2_CF43","Operational"
477,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","13","Background generating process identifier (defined by originating centre)",,"Operational"
478,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","14","Analysis or forecast generating process identifier (defined by originating centre)",,"Operational"
479,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","15-16","Hours after reference time of data cutoff","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Pdt48n","Operational"
480,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","17","Minutes after reference time of data cutoff",,"Operational"
481,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","18","Indicator of unit of time range","(see Code table 4.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF44","Operational"
482,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","19-22","Forecast time in units defined by octet 18","(see Note 2)#GRIB2_7_0_0_Temp.doc#G2_Pdt48n","Operational"
483,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","23","Type of first fixed surface","(see Code table 4.5)#GRIB2_7_0_0_CodeFlag.doc#G2_CF45","Operational"
484,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","24","Scale factor of first fixed surface",,"Operational"
485,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","25-28","Scaled value of first fixed surface",,"Operational"
486,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","29","Type of second fixed surface","(see Code table 4.5)#GRIB2_7_0_0_CodeFlag.doc#G2_CF45","Operational"
487,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","30","Scale factor of second fixed surface",,"Operational"
488,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","31-34","Scaled value of second fixed surface",,"Operational"
489,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","35-36","Year - time of end of overall time interval",,"Operational"
490,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","37","Month - time of end of overall time interval",,"Operational"
491,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","38","Day - time of end of overall time interval",,"Operational"
492,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","39","Hour - time of end of overall time interval",,"Operational"
493,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","40","Minute - time of end of overall time interval",,"Operational"
494,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","41","Second - time of end of overall time interval",,"Operational"
495,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","42","n - number of time range specifications describing the time intervals used to calculate the statistically-processed field",,"Operational"
496,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","43-46","Total number of data values missing in statistical process",,"Operational"
497,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"47-58   Specification of the outermost (or only) time range over which statistical processing is done",,"Operational"
498,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","47","Statistical process used to calculate the processed field from the field at each time increment during the time range","(see Code table 4.10)#GRIB2_7_0_0_CodeFlag.doc#G2_CF410","Operational"
499,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","48","Type of time increment between successive fields used in the statistical processing","(see Code table 4.11)#GRIB2_7_0_0_CodeFlag.doc#G2_CF411","Operational"
500,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","49","Indicator of unit of time for time range over which statistical processing is done","(see Code table 4.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF44","Operational"
501,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","50-53","Length of the time range over which statistical processing is done, in units defined by the previous octet",,"Operational"
502,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","54","Indicator of unit of time for the increment between the successive fields used","(see Code table 4.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF44","Operational"
503,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","55-58","Time increment between successive fields, in units defined by the previous octet","(see Notes 3 and 4)#GRIB2_7_0_0_Temp.doc#G2_Pdt48n","Operational"
504,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"59-nn   These octets are included only if n>1, where nn = 46 + 12*n",,"Operational"
505,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","59-70","As octets 47 to 58, next innermost step of processing",,"Operational"
506,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","71-nn","Additional time range specifications, included in accordance with the value of n. Contents as octets 47 to 58, repeated as necessary",,"Operational"
507,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","10","Parameter category","(see Code table 4.1)#GRIB2_7_0_0_CodeFlag.doc#G2_CF41","Operational"
508,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","11","Parameter number","(see Code table 4.2)#GRIB2_7_0_0_CodeFlag.doc#G2_CF42","Operational"
509,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","12","Type of generating process","(see Code table 4.3)#GRIB2_7_0_0_CodeFlag.doc#G2_CF43","Operational"
510,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","13","Background generating process identifier (defined by originating centre)",,"Operational"
511,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","14","Forecast generating process identifier (defined by originating centre)",,"Operational"
512,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","15-16","Hours after reference time of data cutoff","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Pdt49n","Operational"
513,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","17","Minutes after reference time of data cutoff",,"Operational"
514,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","18","Indicator of unit of time range","(see Code table 4.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF44","Operational"
515,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","19-22","Forecast time in units defined by octet 18","(see Note 2)#GRIB2_7_0_0_Temp.doc#G2_Pdt49n","Operational"
516,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","23","Type of first fixed surface","(see Code table 4.5)#GRIB2_7_0_0_CodeFlag.doc#G2_CF45","Operational"
517,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","24","Scale factor of first fixed surface",,"Operational"
518,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","25-28","Scaled value of first fixed surface",,"Operational"
519,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","29","Type of second fixed surface","(see Code table 4.5)#GRIB2_7_0_0_CodeFlag.doc#G2_CF45","Operational"
520,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","30","Scale factor of second fixed surface",,"Operational"
521,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","31-34","Scaled value of second fixed surface",,"Operational"
522,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","35","Forecast probability number",,"Operational"
523,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","36","Total number of forecast probabilities",,"Operational"
524,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","37","Probability type","(see Code table 4.9)#GRIB2_7_0_0_CodeFlag.doc#G2_CF49","Operational"
525,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","38","Scale factor of lower limit",,"Operational"
526,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","39-42","Scaled value of lower limit",,"Operational"
527,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","43","Scale factor of upper limit",,"Operational"
528,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","44-47","Scaled value of upper limit",,"Operational"
529,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","48-49","Year of end of overall time interval",,"Operational"
530,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","50","Month of end of overall time interval",,"Operational"
531,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","51","Day of end of overall time interval",,"Operational"
532,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","52","Hour of end of overall time interval",,"Operational"
533,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","53","Minute of end of overall time interval",,"Operational"
534,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","54","Second of end of overall time interval",,"Operational"
535,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","55","n - number of time range specifications describing the time intervals used to calculate the statistically-processed field",,"Operational"
536,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","56-59","Total number of data values missing in the statistical process",,"Operational"
537,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"60-71   Specification of the outermost (or only) time range over which statistical processing is done",,"Operational"
538,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","60","Statistical process used to calculate the processed field from the field at each time increment during the time range","(see Code table 4.10)#GRIB2_7_0_0_CodeFlag.doc#G2_CF410","Operational"
539,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","61","Type of time increment between successive fields used in the statistical processing","(see Code table 4.11)#GRIB2_7_0_0_CodeFlag.doc#G2_CF411","Operational"
540,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","62","Indicator of unit of time for time range over which statistical processing is done","(see Code table 4.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF44","Operational"
541,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","63-66","Length of the time range over which statistical processing is done, in units defined by the previous octet",,"Operational"
542,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","67","Indicator of unit of time for the increment between the successive fields used","(see Code table 4.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF44","Operational"
543,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","68-71","Time increment between successive fields, in units defined by the previous octet","(see Note 3)#GRIB2_7_0_0_Temp.doc#G2_Pdt49n","Operational"
544,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"72-nn   These octets are included only if n>1, where nn = 59 + 12*n",,"Operational"
545,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","72-83","As octets 60 to 71, next innermost step of processing",,"Operational"
546,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","84-nn","Additional time range specifications, included in accordance with the value of n. Contents as octets 60 to 71, repeated as necessary.",,"Operational"
547,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","10","Parameter category","(see Code table 4.1)#GRIB2_7_0_0_CodeFlag.doc#G2_CF41","Validation"
548,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","11","Parameter number","(see Code table 4.2)#GRIB2_7_0_0_CodeFlag.doc#G2_CF42","Validation"
549,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","12","Type of generating process","(see Code table 4.3)#GRIB2_7_0_0_CodeFlag.doc#G2_CF43","Validation"
550,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","13","Background generating process identifier (defined by originating centre)",,"Validation"
551,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","14","Forecast generating process identifier (defined by originating centre)",,"Validation"
552,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","15-16","Hours after reference time of data cutoff","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Pdt410n","Validation"
553,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","17","Minutes after reference time for data cutoff",,"Validation"
554,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","18","Indicator of unit of time range","(see Code table 4.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF44","Validation"
555,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","19-22","Forecast time in units defined by previous octet","(see Note 2)#GRIB2_7_0_0_Temp.doc#G2_Pdt410n","Validation"
556,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","23","Type of first fixed surface","(see Code table 4.5)#GRIB2_7_0_0_CodeFlag.doc#G2_CF45","Validation"
557,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","24","Scale factor of first fixed surface",,"Validation"
558,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","25-28","Scaled value of first fixed surface",,"Validation"
559,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","29","Type of second fixed surface","(see Code table 4.5)#GRIB2_7_0_0_CodeFlag.doc#G2_CF45","Validation"
560,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","30","Scale factor of second fixed surface",,"Validation"
561,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","31-34","Scaled value of second fixed surface",,"Validation"
562,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","35","Percentile value (from 100% to 0%)",,"Validation"
563,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","36-37","Year of end of overall time interval",,"Validation"
564,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","38","Month of end of overall time interval",,"Validation"
565,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","39","Day of end of overall time interval",,"Validation"
566,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","40","Hour of end of overall time interval",,"Validation"
567,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","41","Minute of end of overall time interval",,"Validation"
568,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","42","Second of end of overall time interval",,"Validation"
569,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","43","n - number of time range specifications describing the time intervals used to calculate the statistically-processed field",,"Validation"
570,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","44-47","Total number of data values missing in the statistical process",,"Validation"
571,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"48-59   Specification of the outermost (or only) time range over which statistical processing is done",,"Validation"
572,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","48","Statistical process used to calculate the processed field from the field at each time increment during the time range","(see Code table 4.10)#GRIB2_7_0_0_CodeFlag.doc#G2_CF410","Validation"
573,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","49","Type of time increment between successive fields used in the statistical processing","(see Code table 4.11)#GRIB2_7_0_0_CodeFlag.doc#G2_CF411","Validation"
574,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","50","Indicator of unit of time for time range over which statistical processing is done","(see Code table 4.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF44","Validation"
575,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","51-54","Length of the time range over which statistical processing is done, in units defined by the previous octet",,"Validation"
576,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","55","Indicator of unit of time for the increment between the successive fields used","(see Code table 4.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF44","Validation"
577,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","56-59","Time increment between successive fields, in units defined by the previous octet","(see Note 3)#GRIB2_7_0_0_Temp.doc#G2_Pdt410n","Validation"
578,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"60-nn   These octets are included only if n>1, where nn = 47 + 12 x n",,"Validation"
579,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","60-71","As octets 48-59, next innermost step of processing",,"Validation"
580,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","72-nn","Additional time range specifications, included in accordance with the value of n. Contents as octets 48 to 59, repeated as necessary.",,"Validation"
581,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","10","Parameter category","(see Code table 4.1)#GRIB2_7_0_0_CodeFlag.doc#G2_CF41","Operational"
582,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","11","Parameter number","(see Code table 4.2)#GRIB2_7_0_0_CodeFlag.doc#G2_CF42","Operational"
