#
# BUFR Code and Flag Table
# hand modified from BC_CodeFlagTable.xls file from AShimazaki@wmo.int Dec 01, 2009
#
SNo,FXY,CodeFigure,enDescription1,enDescription2,enDescription3
1227,008002,3,Third non - Cb significant layer,,
1228,008002,4,Cumulonimbus layer,,
1229,008002,5,Ceiling,,
1230,008002,6,Clouds not detected below the following height(s),,
1231,008002,7,Low cloud,,
1232,008002,8,Middle cloud,,
1233,008002,9,High cloud,,
1234,008002,10,Cloud layer with base below the station level and top above the station level,,
1235,008002,11,Cloud layer with base and top below the station level,,
1236,008002,12-61,Reserved,,
1237,008002,12-19,Reserved,,
1238,008002,20,No clouds detected by the cloud detection system,,
1239,008002,21,First instrument detected cloud layer,,
1240,008002,22,Second instrument detected cloud layer,,
1241,008002,23,Third instrument detected cloud layer,,
1242,008002,24,Fourth instrument detected cloud layer,,
1243,008002,25?61,Reserved,,
1244,008002,62,Value not applicable,,
1245,008002,63,Missing value,,
1246,008003,0,Surface,,
1247,008003,1,Base of Satellite sounding,,
1248,008003,2,Cloud top,,
1249,008003,3,Tropopause,,
1250,008003,4,Precipitable water,,
1251,008003,5,Sounding Radiances,,
1252,008003,6,Mean Temperatures,,
1253,008003,7,Ozone,,
1254,008003,8-62,Reserved,,
1255,008003,8,Low cloud,,
1256,008003,9,Med Cloud,,
1257,008003,10,High cloud,,
1258,008003,11-62,Reserved,,
1259,008003,63,Missing value,,
1260,008004,0-1,Reserved,,
1261,008004,2,Unsteady (UNS),,
1262,008004,3,"Level flight, routine observation (LVR)",,
1263,008004,4,"Level flight, highest wind encountered (LVW)",,
1264,008004,5,Ascending (ASC),,
1265,008004,6,Descending (DES),,
1266,008004,7,Missing value,,
1267,008005,0,Reserved,,
1268,008005,1,Storm center,,
1269,008005,2,Outer limit or edge of storm,,
1270,008005,3,Location of maximun wind,,
1271,008005,4,Location of the storm in the perturbed analysis,,
1272,008005,5,Location of the storm in the analysis,,
1273,008005,6-14,Reserved,,
1274,008005,15,Missing value,,
1275,008006,1,Surface,,
1276,008006,2,Standard level,,
1277,008006,3,Tropopause level,,
1278,008006,4,Prominent maximum level,,
1279,008006,5,Prominent minimum level,,
1280,008006,6,Minimum pressure level,,
1281,008006,7,Reserved,,
1282,008006,8,Level of undetermined significance,,
1283,008006,All 9,Missing value,,
1284,008007,0,Point,,
1285,008007,1,Line,,
1286,008007,2,Area,,
1287,008007,3,Volume,,
1288,008007,4-14,Reserved,,
1289,008007,15,Missing value,,
1290,008008,1,Surface,,
1291,008008,2,Standard level,,
1292,008008,3,Tropopause level,,
1293,008008,4,Level of beta radiation maximum,,
1294,008008,5,Level of gamma radiation maximum,,
1295,008008,6,Minimum pressure level,,
1296,008008,7,Reserved,,
1297,008008,8,Level of undetermined significance,,
1298,008008,All 9,Missing value,,
1299,008009,0,"Level flight, routine observation, unsteady",,
1300,008009,1,"Level flight, highest wind encountered, unsteady",,
1301,008009,2,Unsteady (UNS),,
1302,008009,3,"Level flight, routine observation (LVR)",,
1303,008009,4,"Level flight, highest wind encountered (LVW)",,
1304,008009,5,Ascending (ASC),,
1305,008009,6,Descending (DES),,
1306,008009,7,"Ascending, observation intervals selected by time increments",,
1307,008009,8,"Ascending, observation intervals selected by time increments, unsteady",,
1308,008009,9,"Ascending, observation intervals selected by pressure increments",,
1309,008009,10,"Ascending, observation intervals selected by pressure increments, unsteady",,
1310,008009,11,"Descending, observation intervals selected by time increments",,
1311,008009,12,"Descending, observation intervals selected by time increments, unsteady",,
1312,008009,13,"Descending, observation intervals selected by pressure increments",,
1313,008009,14,"Descending, observation intervals selected by pressure increments, unsteady",,
1314,008009,15,Missing value,,
1315,008010,0,Reserved,,
1316,008010,1,Bare soil,,
1317,008010,2,Bare rock,,
1318,008010,3,Land grass cover,,
1319,008010,4,"Water (lake, sea)",,
1320,008010,5,Flood water underneath,,
1321,008010,6,Snow,,
1322,008010,7,Ice,,
1323,008010,8,Runway or road,,
1324,008010,9,Ship or platform deck in steel,,
1325,008010,10,Ship or platform deck in wood,,
1326,008010,11,Ship or platform deck partly covered with rubber mat,,
1327,008010,12-30,Reserved,,
1328,008010,31,Missing value,,
1329,008011,0,Quasi stationary front at the surface,,
1330,008011,1,Quasi stationary front above the surface,,
1331,008011,2,Warm front at the surface,,
1332,008011,3,Warm front above the surface,,
1333,008011,4,Cold front at the surface,,
1334,008011,5,Cold front above the surface,,
1335,008011,6,Occlusion,,
1336,008011,7,Instability line,,
1337,008011,8,Intertropical front,,
1338,008011,9,Convergence line,,
1339,008011,10,Jet stream,,
1340,008011,11,Cloud clear,,
1341,008011,12,Cloud,,
1342,008011,13,Turbulence,,
1343,008011,14,Storm,,
1344,008011,15,Airframe icing,,
1345,008011,16,Phenomenon,,
1346,008011,17,Volcano,,
1347,008011,18,Atmospherics,,
1348,008011,19,Reserved,,
1349,008011,20,Special clouds,,
1350,008011,21,Thunderstorm,,
1351,008011,22,Tropical cyclone,,
1352,008011,23,Mountain Wave,,
1353,008011,24,Duststorm,,
1354,008011,25,Sandstorm,,
1355,008011,26-62,Reserved,,
1356,008011,63,Missing value,,
1357,008012,0,Land,,
1358,008012,1,Sea,,
1359,008012,2,Coastal,,
1360,008012,3,Missing value,,
1361,008013,0,Night,,
1362,008013,1,Day,,
1363,008013,2,Reserved,,
1364,008013,3,Missing value,,
1365,008014,0,10 minute mean value   normal value,,
1366,008014,1,10 minute mean value   above the upper limit for assessments of RVR (P),,
1367,008014,2,10 minute mean value  below the lower limit for assessments of RVR (M),,
1368,008014,3,one minute minimum value   normal value,,
1369,008014,4,one minute minimum value   above the upper limit for assessments of RVR (P),,
1370,008014,5,one minute minimum value   below the lower limit for assessments of RVR (M),,
1371,008014,6,one minute maximum value   normal value,,
1372,008014,7,one minute maximum value   above the upper limit for assessments of RVR (P),,
1373,008014,8,one minute maximum value   below the lower limit for assessments of RVR (M),,
1374,008014,9-14,Reserved,,
1375,008014,15,Missing value,,
1376,008016,0,NOSIG,,
1377,008016,1,BECMG,,
1378,008016,2,TEMPO,,
1379,008016,3,FM,,
1380,008016,4-6,Reserved,,
1381,008016,7,Missing value,,
1382,008017,0,FM,,
1383,008017,1,TL,,
1384,008017,2,AT,,
1385,008017,3,Missing value,,
1386,008018,1,Land is present,,
1387,008018,2,Surface ice map indicates ice is present,,
1388,008018,3-10,Reserved,,
1389,008018,11,Ice map data not available,,
1390,008018,12,Attenuation map data not available,,
1391,008018,13-16,Reserved,,
1392,008018,All 17,Missing value,,
1393,008019,0,Reserved,,
1394,008019,1,ATS (Air Traffic Service) unit serving FIR (Flight Information Region),,
1395,008019,2,FIR (Flight Information Region),,
1396,008019,3,UIR (Upper Information Region),,
1397,008019,4,CTA (Control Area),,
1398,008019,5,VAAC (Volcanic Ash Advisory Centre),,
1399,008019,6,MWO (Meteorological Watch Office) issuing SIGMET,,
1400,008019,7-14,Reserved,,
1401,008019,15,Missing value,,
1402,008021,0,Reserved,,
1403,008021,1,Time series,,
1404,008021,2,Time averaged,,
1405,008021,3,Accumulated,,
1406,008021,4,Forecast,,
1407,008021,5,Forecast time series,,
1408,008021,6,Forecast time averaged,,
1409,008021,7,Forecast accumulated,,
1410,008021,8,Ensemble mean,,
1411,008021,9,Ensemble mean time series,,
1412,008021,10,Ensemble mean time averaged,,
1413,008021,11,Ensemble mean accumulated,,
1414,008021,12,Ensemble mean forecast,,
1415,008021,13,Ensemble mean forecast time series,,
1416,008021,14,Ensemble mean forecast time averaged,,
1417,008021,15,Ensemble mean forecast accumulated,,
1418,008021,16,Analysis,,
1419,008021,17,Start of phenomenon,,
1420,008021,18,Radiosonde launch time,,
1421,008021,19,Start of orbit,,
1422,008021,20,End of orbit,,
1423,008021,21,Time of ascending node,,
1424,008021,22,Time of occurrence of wind shift,,
1425,008021,23,Monitoring period,,
1426,008021,24,Agreed time limit for report reception,,
1427,008021,25,Nominal reporting time,,
1428,008021,26,Time of last known position,,
1429,008021,27,First guess,,
1430,008021,28,Start of scan,,
1431,008021,29,End of scan,,
1432,008021,30,Reserved,,
1433,008021,31,Missing value,,
1434,008023,0-1,Reserved,,
1435,008023,2,Maximum value,,
1436,008023,3,Minimum value,,
1437,008023,4,Mean value,,
1438,008023,5,Median value,,
1439,008023,6,Modal value,,
1440,008023,7,Mean absolute error,,
1441,008023,8,Reserved,,
1442,008023,9,Best estimate of standard deviation (N-1),,
1443,008023,10,Standard deviation (N),,
1444,008023,11,Harmonic mean,,
1445,008023,12,Root-mean-square vector error,,
1446,008023,13,Root-mean-square,,
1447,008023,14-31,Reserved,,
1448,008023,32,Vector mean,,
1449,008023,33-62,Reserved for local use,,
1450,008023,63,Missing value,,
1451,008024,0-1,Reserved,,
1452,008024,2,Observed minus maximum,,
1453,008024,3,Observed minus minimum,,
1454,008024,4,Observed minus mean,,
1455,008024,5,Observed minus median,,
1456,008024,6,Observed minus mode,,
1457,008024,7-10,Reserved,,
1458,008024,11,Observed minus climatology (anomaly),,
1459,008024,12,Observed minus analyzed value,,
1460,008024,13,Observed minus initialized analysed value,,
1461,008024,14,Observed minus forecast value,,
1462,008024,15-20,Reserved,,
1463,008024,21,Observed minus interpolated value,,
1464,008024,22,Observed minus hydrostatically calculated value,,
1465,008024,23-31,Reserved,,
1466,008024,32-62,Reserved for local use,,
1467,008024,63,Missing value,,
1468,008025,0,Universal Time Coordinated (UTC) minus Local Standard Time (LST),,
1469,008025,1,Local Standard Time,,
1470,008025,2,Universal Time Coordinated (UTC) minus Satellite clock,,
1471,008025,3-4,Reserved,,
1472,008025,5,Time difference from edge of processing segment,,
1473,008025,6-14,Reserved,,
1474,008025,15,Missing value,,
1475,008026,0,Averaging kernel matrix,,
1476,008026,1,Correlation matrix (C),,
1477,008026,2,Lower triangular correlation matrix square root      (L from C=LLT),,
1478,008026,3,Inverse of lower triangular correlation matrix square root (L-1),,
1479,008026,4-42,Reserved,,
1480,008026,43-62,Reserved for local use,,
1481,008026,63,Missing or undefined significance,,
1482,008029,0,Open ocean or semi-enclosed sea,,
1483,008029,1,Enclosed sea or lake,,
1484,008029,2,Continental ice,,
1485,008029,3,Land,,
1486,008029,4-254,Reserved,,
1487,008029,4,Low inland (below sea level),,
1488,008029,5,Mix of land and water,,
1489,008029,6,Mix of land and low inland,,
1490,008029,7-254,Reserved,,
1491,008029,255,Missing value,,
1492,008033,0,Reserved,,
1493,008033,1,Percentage confidence calculated using cloud fraction,,
1494,008033,2,Percentage confidence calculated using standard deviation of temperature,,
1495,008033,3,Percentage confidence calculated using probability of cloud contamination,,
1496,008033,4,Percentage confidence calculated using normality of distribution,,
1497,008033,5-126,Reserved,,
1498,008033,127,Missing value,,
1499,008035,0,Global,,
1500,008035,1,Regional,,
1501,008035,2,National,,
1502,008035,3,Special,,
1503,008035,4,Bilateral,,
1504,008035,5,Reserved,,
1505,008035,6,Reserved,,
1506,008035,7,Missing value,,
1507,008036,0,WMO Secretariat,,
1508,008036,1,WMO,,
1509,008036,2,RSMC,,
1510,008036,3,NMC,,
1511,008036,4,RTH,,
1512,008036,5,Observing site,,
1513,008036,6,Other,,
1514,008036,7,Missing value,,
1515,008039,0,Issue time of forecast,,
1516,008039,1,Time of commencement of period of the forecast,,
1517,008039,2,Time of ending of period of the forecast,,
1518,008039,3,Forecast time of maximum temperature,,
1519,008039,4,Forecast time of minimum temperature,,
1520,008039,5,Time of beginning of the forecast change,,
1521,008039,6,Time of ending of the forecast change,,
1522,008039,7-62,Reserved,,
1523,008039,63,Missing value,,
1524,008040,0,High resolution data sample,,
1525,008040,1,Within 20 hPa of surface,,
1526,008040,2,"Pressure less than 10 hPa (i.e., 9, 8, 7, etc.) when no other reason applies",,
1527,008040,3,Base pressure level for stability index,,
1528,008040,4,"Begin doubtful temperature, height data",,
1529,008040,5,Begin missing data (all elements),,
1530,008040,6,Begin missing RH data,,
1531,008040,7,Begin missing temperature data,,
1532,008040,8,Highest level reached before balloon descent because of icing or turbulence,,
1533,008040,9,"End doubtful temperature, height data",,
1534,008040,10,End missing data (all elements),,
1535,008040,11,End missing RH data,,
1536,008040,12,End missing temperature data,,
1537,008040,13,Zero degrees C crossing(s) for RADAT,,
1538,008040,14,Standard pressure level,,
1539,008040,15,Operator added level,,
1540,008040,16,Operator deleted level,,
1541,008040,17,Balloon re ascended beyond previous highest ascent level,,
1542,008040,18,Significant RH level,,
1543,008040,19,RH level selection terminated,,
1544,008040,20,Surface level,,
1545,008040,21,Significant temperature level,,
1546,008040,22,Mandatory temperature level,,
1547,008040,23,Flight termination level,,
1548,008040,24,Tropopause(s),,
1549,008040,25,Aircraft report,,
1550,008040,26,Interpolated (generated) level,,
1551,008040,27,Mandatory wind level,,
1552,008040,28,Significant wind level,,
1553,008040,29,Maximum wind level,,
1554,008040,30,Incremental wind level (fixed regional),,
1555,008040,31,Incremental height level (generated),,
1556,008040,32,Wind termination level,,
1557,008040,33,"Pressure 100 to 110 hPa, when no other reason applies",,
1558,008040,34-39,Reserved,,
1559,008040,34,Freezing level base,,
1560,008040,35,Freezing level top,,
1561,008040,36,Flight level base,,
1562,008040,37,Flight level top,,
1563,008040,38-39,Reserved,,
1564,008040,40,Significant thermodynamic level (inver¬sion),,
1565,008040,41,Significant RH level ( per NCDC criteria),,
1566,008040,42,Significant temperature level (per NCDC),,
1567,008040,43,Begin missing wind data,,
1568,008040,44,End missing wind data,,
1569,008040,45-59,Reserved,,
1570,008040,60,Level of 80-knot isotach above jet,,
1571,008040,61,Level of 80-knot isotach below jet,,
1572,008040,62,Other,,
1573,008040,63,Missing value,,
1574,008041,0,Parent site,,
1575,008041,1,Observation site,,
1576,008041,2,Balloon manufacture date,,
1577,008041,3,Balloon launch point,,
1578,008041,4,Surface observation,,
1579,008041,5,Surface observation displacement from launch point,,
1580,008041,6,Flight level observation,,
1581,008041,7,Flight level termination point,,
1582,008041,8-30,Reserved,,
1583,008041,8,IFR Ceiling and Visibility,,
1584,008041,9,Mountain obscuration,,
1585,008041,10,Strong surface wind,,
1586,008041,11,Freezing level,,
1587,008041,12,Multiple freezing level,,
1588,008041,13-30,Reserved,,
1589,008041,31,Missing value,,
1590,008042,1,Surface,,
1591,008042,2,Standard level,,
1592,008042,3,Tropopause level,,
1593,008042,4,Maximum wind level,,
1594,008042,5,Significant temperature level,,
1595,008042,6,Significant humidity level,,
1596,008042,7,Significant wind level,,
1597,008042,8,Beginning of missing temperature data,,
1598,008042,9,End of missing temperature data,,
1599,008042,10,Beginning of missing humidity data,,
1600,008042,11,End of missing humidity data,,
1601,008042,12,Beginning of missing wind data,,
1602,008042,13,End of missing wind data,,
1603,008042,14,Top of wind sounding,,
1604,008042,15,Level determined by regional decision,,
1605,008042,16,Reserved,,
1606,008042,17,Pressure level originally indicated by height as the vertical coordinate,,
1607,008042,All 18,Missing value,,
1608,008043,0,Ozone,O3,10028-15-6
1609,008043,1,Water vapour,H2O,7732-18-5
1610,008043,2,Methane,CH4,74-82-8
1611,008043,3,Carbon dioxide,CO2,124-38-9
1612,008043,4,Carbon monoxide,CO,630-08-0
1613,008043,5,Nitrogen dioxide,NO2,10102-44-0
1614,008043,6,Nitrous oxide,N2O,10024-97-2
1615,008043,7,Formaldehyde,HCHO,50-00-0
1616,008043,8,Sulfur dioxide,SO2,7446-09-5
1617,008043,9-24,Reserved,,
1618,008043,25,Particulate Matter < 1.0 microns,,
1619,008043,26,Particulate Matter < 2.5 microns,,
1620,008043,27,Particulate Matter < 10 microns,,
1621,008043,28,Aerosols (generic),,
1622,008043,29,Smoke (generic),,
1623,008043,30,Crustal Material (generic dust),,
1624,008043,31,Volcanic Ash,,
1625,008043,32-200,Reserved,,
1626,008043,201-254,Reserved for local use,,
1627,008043,255,Missing value,,
1628,008050,0,Reserved,,
1629,008050,1,Pressure,,
1630,008050,2,Temperature,,
1631,008050,3,Extreme temperature,,
1632,008050,4,Vapour pressure,,
1633,008050,5,Precipitation,,
1634,008050,6,Sunshine duration,,
1635,008050,7,Maximum temperature,,
1636,008050,8,Minimum temperature,,
1637,008050,9,Wind,,
1638,008050,10-14,Reserved,,
1639,008050,15,Missing value,,
1640,008051,1,Pressure,,
1641,008051,2,Temperature,,
1642,008051,3,Extreme temperature,,
1643,008051,4,Vapour pressure,,
1644,008051,5,Precipitation,,
1645,008051,6,Sunshine duration,,
1646,008051,7,Missing value,,
1647,008052,0,Mean wind speed over a 10-minute period observed or recorded equal to or more than 10 m/s or 20 knots,,
1648,008052,1,Mean wind speed over a 10-minute period observed or recorded equal to or more than 20 m/s or 40 knots,,
1649,008052,2,Mean wind speed over a 10-minute period observed or recorded equal to or more than 30 m/s or 60 knots,,
1650,008052,3,Maximum temperature less than 273.15 K,,
1651,008052,4,Maximum temperature equal to or more than 298.15 K,,
1652,008052,5,Maximum temperature equal to or more than 303.15 K,,
1653,008052,6,Maximum temperature equal to or more than 308.15 K,,
1654,008052,7,Maximum temperature equal to or more than 313.15 K,,
1655,008052,8,Minimum temperature less than 273.15 K,,
1656,008052,9,Maximum temperature equal to or more than 273.15 K,,
1657,008052,10,Precipitation equal to or more than 1.0 kgm-2,,
1658,008052,11,Precipitation equal to or more than 5.0 kgm-2,,
1659,008052,12,Precipitation equal to or more than 10.0 kgm-2,,
1660,008052,13,Precipitation equal to or more than 50.0 kgm-2,,
1661,008052,14,Precipitation equal to or more than 100.0 kgm-2,,
1662,008052,15,Precipitation equal to or more than 150.0 kgm-2,,
1663,008052,16,Snow depth more than 0.00 m,,
1664,008052,17,Snow depth more than 0.01 m,,
1665,008052,18,Snow depth more than 0.10 m,,
1666,008052,19,Snow depth more than 0.50 m,,
1667,008052,20,Horizontal visibility less than 50 m,,
1668,008052,21,Horizontal visibility less than 100 m,,
1669,008052,22,Horizontal visibility less than 1000 m,,
1670,008052,23,Hail,,
1671,008052,24,Thunderstorm,,
1672,008052,25-30,Reserved,,
1673,008052,31,Missing value,,
1674,008053,0,Value occurred on only one day in the month,,
1675,008053,1,Value occurred on more than one day in the month,,
1676,008053,2,Reserved,,
1677,008053,3,Missing value,,
1678,008054,0,Wind speed or gust is as reported,,
1679,008054,1,Wind speed is greater than that reported (P in METAR/TAF/SPECI),,
1680,008054,2-6,Reserved,,
1681,008054,7,Missing value,,
1682,008060,0,Reserved,,
1683,008060,1,Range,,
1684,008060,2,Azimuth,,
1685,008060,3,Horizontal,,
1686,008060,4,Vertical,,
1687,008060,5,North/South,,
1688,008060,6,East/West,,
1689,008060,7-14,Reserved,,
1690,008060,15,Missing value,,
1691,008065,0,No sun-glint,,
1692,008065,1,Sun-glint,,
1693,008065,2,Reserved,,
1694,008065,3,Missing value,,
1695,008066,0,Opaque,,
1696,008066,1,Semi-transparent,,
1697,008066,2,Reserved,,
1698,008066,3,Missing value,,
1699,008070,0,Reserved,,
1700,008070,1,Reserved,,
1701,008070,2,"Earth located instrument counts, calibration coefficients and housekeeping (level 1b)",,
1702,008070,3,Earth located calibrated radiances (level 1c),,
1703,008070,4,"Mapped to a common footprint, earth located calibrated radiances (level 1d)",,
1704,008070,5-14,Reserved,,
1705,008070,15,Missing value,,
1706,008072,0,Mixed,,
1707,008072,1,Clear,,
1708,008072,2,Cloudy,,
1709,008072,3-6,Reserved,,
1710,008072,7,Missing value,,
1711,008074,0,Open ocean or semi-enclosed sea,,
1712,008074,1,Non-ocean like,,
1713,008074,2,Reserved,,
1714,008074,3,Missing value,,
1715,008075,0,Ascending orbit,,
1716,008075,1,Descending orbit,,
1717,008075,2,Reserved,,
1718,008075,3,Missing value,,
1719,008076,0,Ku,,
1720,008076,1,C,,
1721,008076,2-62,Reserved,,
1722,008076,63,Missing value,,
1723,008077,0,Land,,
1724,008077,1,Sea,,
1725,008077,2,Coastal,,
1726,008077,3,Open ocean or semi-enclosed sea,,
1727,008077,4,Enclosed sea or lake,,
1728,008077,5,Continental ice,,
1729,008077,6-126,Reserved,,
1730,008077,127,Missing value,,
1731,008079,0,Normal issue,,
1732,008079,1,Correction to a previously issued product (COR),,
1733,008079,2,Amendment to a previously issued product (AMD),,
1734,008079,3,Correction to a previously issued amended product (COR AMD),,
1735,008079,4,Cancellation of a previously issued product (CNL),,
1736,008079,5,No product available (NIL),,
1737,008079,6-14,Reserved,,
1738,008079,6,Special report (SPECI),,
1739,008079,7,Corrected special report (SPECI COR),,
1740,008079,8-14,Reserved,,
1741,008079,15,Missing value,,
1742,008079,15,Missing or not applicable,,
1743,008080,0,Total water pressure profile,,
1744,008080,1,Total water temperature profile,,
1745,008080,2,Total water salinity profile,,
1746,008080,3,Total water conductivity profile,,
1747,008080,4-9,Reserved,,
1748,008080,10,Water pressure at a level,,
1749,008080,11,Water temperature at a level,,
1750,008080,12,Salinity at a level,,
1751,008080,13-19,Reserved,,
1752,008080,20,Position,,
1753,008080,21-62,Reserved,,
1754,008080,63,Missing value,,
1755,008081,0,Sensor,,
1756,008081,1,Transmitter,,
1757,008081,2,Receiver,,
1758,008081,3,Observing platform,,
1759,008081,4-62,Reserved,,
1760,008081,63,Missing value,,
1761,008082,0,Sensor height is not modified,,
1762,008082,1,Sensor height is modified to standard level,,
1763,008082,2-6,Reserved,,
1764,008082,7,Missing value,,
1765,008083,1,Adjusted with respect to representative height of sensor above local ground (or Deck of marine platform),,
1766,008083,2,Adjusted with respect to representative height of sensor above water surface,,
1767,008083,3,Adjusted with respect to standard surface roughness,,
1768,008083,4,Adjusted with respect to wind speed,,
1769,008083,5,Adjusted with respect to temperature,,
1770,008083,6,Adjusted with respect to pressure,,
1771,008083,7,Adjusted with respect to humidity,,
1772,008083,8,Adjusted with respect to evaporation,,
1773,008083,9,Adjusted with respect to wetting losses,,
1774,008083,10-14,Reserved,,
1775,008083,All 15,Missing value,,
1776,008085,0,Fore beam,,
1777,008085,1,Mid beam,,
1778,008085,2,Aft beam,,
1779,008085,3-6,Reserved,,
1780,008085,7,Missing value,,
1781,010063,0,"Increasing, then decreasing; atmospheric pressure the same or higher than 3 hours ago",,
1782,010063,1,"Increasing, then steady; or increasing, then increasing more slowly",Atmospheric pressure now higher than 3 hours ago,
1783,010063,2,Increasing (steadily or unsteadily),Atmospheric pressure now higher than 3 hours ago,
1784,010063,3,"Decreasing or steady, then increasing; or increasing, then increasing more rapidly",Atmospheric pressure now higher than 3 hours ago,
1785,010063,4,Steady; atmospheric pressure the same as 3 hours ago,,
1786,010063,5,"Decreasing, then increasing; atmospheric pressure the same or lower than 3 hours ago",,
1787,010063,6,"Decreasing, then steady; or decreasing, then decreasing more slowly",Atmospheric pressure now lower than 3 hours ago,
1788,010063,7,Decreasing (steadily or unsteadily),Atmospheric pressure now lower than 3 hours ago,
1789,010063,8,"Steady or increasing, then decreasing; or decreasing, then decreasing more rapidly",Atmospheric pressure now lower than 3 hours ago,
1790,010063,9-14,Reserved,,
1791,010063,15,Missing value,,
1792,010064,0,Subsonic,,
1793,010064,1,Transonic,,
1794,010064,2,Supersonic,,
1795,010064,3-6,Reserved,,
1796,010064,7,Missing value,,
1797,011030,0,Nil - In cloud,,
1798,011030,1,Light - In cloud,,
1799,011030,2,Moderate - In cloud,,
1800,011030,3,Severe - In cloud,,
1801,011030,4,Nil - clear air,,
1802,011030,5,Light - clear air,,
1803,011030,6,Moderate - clear air,,
1804,011030,7,Severe - clear air,,
1805,011030,8,Nil - Cloud/clear air not specified,,
1806,011030,9,Light - Cloud/clear air not specified,,
1807,011030,10,Moderate - Cloud/clear air not specified,,
1808,011030,11,Severe - Cloud/clear air not specified,,
1809,011030,12,"Extreme, In clear air",,
1810,011030,13,"Extreme, In cloud",,
1811,011030,14,"Extreme, cloud/clear air not specified",,
1812,011030,15,"Light, isolated moderate",,
1813,011030,16,"Light, occasional moderate",,
1814,011030,17,"Light, frequently moderate",,
1815,011030,18,"Moderate, isolated severe",,
1816,011030,19,"Moderate, occasional severe",,
1817,011030,20,"Moderate, frequently severe",,
1818,011030,21,"Severe, isolated extreme",,
1819,011030,22,"Severe, occasional extreme",,
1820,011030,23,"Severe, frequently extreme",,
1821,011030,24-62,Reserved,,
1822,011030,63,Missing value,,
1823,011031,0,Nil,In cloud,
1824,011031,1,Light,In cloud,
1825,011031,2,Moderate,In cloud,
1826,011031,3,Severe,In cloud,
1827,011031,4,Nil,In clear air,
1828,011031,5,Light,In clear air,
1829,011031,6,Moderate,In clear air,
1830,011031,7,Severe,In clear air,
1831,011031,8,Nil,Cloud/clear air not specified,
1832,011031,9,Light,Cloud/clear air not specified,
1833,011031,10,Moderate,Cloud/clear air not specified,
1834,011031,11,Severe,Cloud/clear air not specified,
1835,011031,12,"Extreme, In clear air",,
1836,011031,13,"Extreme, In cloud",,
1837,011031,14,"Extreme, cloud/clear air not specified",,
1838,011031,15,Missing value,,
1839,011037,0,ave <0.1,peak <0.1,
1840,011037,1,ave <0.1,0.1 <= peak <0.2,
1841,011037,2,0.1 <= ave <0.2,0.1 <= peak <0.2,
1842,011037,3,ave <0.1,0.2 <= peak <0.3,
1843,011037,4,0.1 <= ave <0.2,0.2 <= peak <0.3,
1844,011037,5,0.2 <= ave <0.3,0.2 <= peak <0.3,
1845,011037,6,ave <0.1,0.3 <= peak <0.4,
1846,011037,7,0.1 <= ave <0.2,0.3 <= peak <0.4,
1847,011037,8,0.2 <= ave <0.3,0.3 <= peak <0.4,
1848,011037,9,0.3 <= ave <0.4,0.3 <= peak <0.4,
1849,011037,10,ave <0.1,0.4 <= peak <0.5,
1850,011037,11,0.1 <= ave <0.2,0.4 <= peak <0.5,
1851,011037,12,0.2 <= ave <0.3,0.4 <= peak <0.5,
1852,011037,13,0.3 <= ave <0.4,0.4 <= peak <0.5,
1853,011037,14,0.4 <= ave <0.5,0.4 <= peak <0.5,
1854,011037,15,ave <0.1,0.5 <= peak <0.8,
1855,011037,16,0.1 <= ave <0.2,0.5 <= peak <0.8,
1856,011037,17,0.2 <= ave <0.3,0.5 <= peak <0.8,
1857,011037,18,0.3 <= ave <0.4,0.5 <= peak <0.8,
1858,011037,19,0.4 <= ave <0.5,0.5 <= peak <0.8,
1859,011037,20,0.5 <= ave <0.8,0.5 <= peak <0.8,
1860,011037,21,ave <0.1,0.8 <= peak,
1861,011037,22,0.1 <= ave <0.2,0.8 <= peak,
1862,011037,23,0.2 <= ave <0.3,0.8 <= peak,
1863,011037,24,0.3 <= ave <0.4,0.8 <= peak,
1864,011037,25,0.4 <= ave <0.5,0.8 <= peak,
1865,011037,26,0.5 <= ave <0.8,0.8 <= peak,
1866,011037,27,0.8 <= ave,0.8 <= peak,
1867,011037,28,Nil,,
1868,011037,29-62,Reserved,,
1869,011037,63,Missing value,,
1870,011038,0,min < 1,,
1871,011038,1,1 <= min < 2,,
1872,011038,2,2 <= min < 3,,
1873,011038,3,3 <= min < 4,,
1874,011038,4,4 <= min < 5,,
1875,011038,5,5 <= min < 6,,
1876,011038,6,6 <= min < 7,,
1877,011038,7,7 <= min < 8,,
1878,011038,8,8 <= min < 9,,
1879,011038,9,9 <= min < 10,,
1880,011038,10,10 <= min < 11,,
1881,011038,11,11 <= min < 12,,
1882,011038,12,12 <= min < 13,,
1883,011038,13,13 <= min < 14,,
1884,011038,14,14 <= min < 15,,
1885,011038,15,No timing information available,,
1886,011038,16-30,Reserved,,
1887,011038,31,Missing value,,
1888,011039,0,min < 1,,
1889,011039,1,1 <= min < 2,,
1890,011039,2,2 <= min < 3,,
1891,011039,3,3 <= min < 4,,
1892,011039,4,4 <= min < 5,,
1893,011039,5,5 <= min < 6,,
1894,011039,6,6 <= min < 7,,
1895,011039,7,7 <= min < 8,,
1896,011039,8,8 <= min < 9,,
1897,011039,9,9 <= min < 10,,
1898,011039,10,10 <= min < 11,,
1899,011039,11,11 <= min < 12,,
1900,011039,12,12 <= min < 13,,
1901,011039,13,13 <= min < 14,,
1902,011039,14,14 <= min < 15,,
